# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.module.iml.entities.serializer.save.entities.ms,1698768347006000000,1698768407005000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1698768347006000000,1698768407005000000,0
jps.global.get.library.by.name.ms,1698768347006000000,1698768407005000000,0
jps.project.serializers.save.ms,1698768347006000000,1698768407005000000,1
workspaceModel.global.updates.count,1698768347006000000,1698768407005000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1698768347006000000,1698768407005000000,0
jps.module.iml.entities.serializer.load.entities.ms,1698768347006000000,1698768407005000000,6
jps.facet.change.listener.before.change.events.ms,1698768347006000000,1698768407005000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1698768347006000000,1698768407005000000,9
jps.reload.project.entities.ms,1698768347006000000,1698768407005000000,0
jps.global.initialize.library.bridges.ms,1698768347006000000,1698768407005000000,0
jps.storage.jps.conf.reader.load.component.ms,1698768347006000000,1698768407005000000,8
workspaceModel.mutableEntityStorage.modify.entity.ms,1698768347006000000,1698768407005000000,2
jps.artifact.entities.serializer.load.entities.ms,1698768347006000000,1698768407005000000,0
jps.artifact.entities.serializer.save.entities.ms,1698768347006000000,1698768407005000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1698768347006000000,1698768407005000000,1
workspaceModel.global.apply.state.to.project.builder.ms,1698768347006000000,1698768407005000000,0
jps.project.serializers.load.ms,1698768347006000000,1698768407005000000,16
jps.save.global.entities.ms,1698768347006000000,1698768407005000000,0
workspaceModel.moduleBridge.update.option.ms,1698768347006000000,1698768407005000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1698768347006000000,1698768407005000000,0
workspaceModel.moduleBridge.before.changed.ms,1698768347006000000,1698768407005000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1698768347006000000,1698768407005000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1698768347006000000,1698768407005000000,0
jps.global.initialize.library.bridges.after.loading.ms,1698768347006000000,1698768407005000000,0
workspaceModel.orphan.listener.update.ms,1698768347006000000,1698768407005000000,1
workspaceModel.mutableEntityStorage.entities.ms,1698768347006000000,1698768407005000000,0
jps.load.initial.state.ms,1698768347006000000,1698768407005000000,3
jps.load.project.to.empty.storage.ms,1698768347006000000,1698768407005000000,17
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1698768347006000000,1698768407005000000,1
jps.global.get.library.ms,1698768347006000000,1698768407005000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1698768347006000000,1698768407005000000,0
jps.library.entities.serializer.load.entities.ms,1698768347006000000,1698768407005000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1698768347006000000,1698768407005000000,3
jps.apply.loaded.storage.ms,1698768347006000000,1698768407005000000,14
VFSFlusher.totalFlushingTimeUs,1698768347006000000,1698768407005000000,0
IndexesFlusher.totalFlushes,1698768347006000000,1698768407005000000,60
VFSFlusher.totalContentionQuotaSpent,1698768347006000000,1698768407005000000,0
VFSFlusher.totalFlushes,1698768347006000000,1698768407005000000,0
IndexesFlusher.totalFlushingTimeUs,1698768347006000000,1698768407005000000,116566
IndexesFlusher.totalFlushesRetried,1698768347006000000,1698768407005000000,0
IndexesFlusher.totalContentionQuotaSpent,1698768347006000000,1698768407005000000,0
VFSFlusher.totalFlushesRetried,1698768347006000000,1698768407005000000,0
workspaceModel.check.recursive.update.ms,1698768347006000000,1698768407005000000,0
workspaceModel.updates.ms,1698768347006000000,1698768407005000000,38
workspaceModel.loading.from.cache.ms,1698768347006000000,1698768407005000000,96
workspaceModel.pre.handlers.ms,1698768347006000000,1698768407005000000,1
workspaceModel.update.unloaded.entities.ms,1698768347006000000,1698768407005000000,0
workspaceModel.collect.changes.ms,1698768347006000000,1698768407005000000,0
workspaceModel.updates.precise.ms,1698768347006000000,1698768407005000000,14
workspaceModel.loading.total.ms,1698768347006000000,1698768407005000000,112
workspaceModel.updates.count,1698768347006000000,1698768407005000000,3
workspaceModel.to.snapshot.ms,1698768347006000000,1698768407005000000,1
workspaceModel.initializing.ms,1698768347006000000,1698768407005000000,0
workspaceModel.init.bridges.ms,1698768347006000000,1698768407005000000,0
workspaceModel.replace.project.model.ms,1698768347006000000,1698768407005000000,0
DirectByteBufferAllocator.disposed,1698768347006000000,1698768407005000000,0
DirectByteBufferAllocator.reclaimed,1698768347006000000,1698768407005000000,0
StreamlinedBlobStorage.recordsDeleted,1698768347006000000,1698768407005000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1698768347006000000,1698768407005000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1698768347006000000,1698768407005000000,0
DirectByteBufferAllocator.misses,1698768347006000000,1698768407005000000,0
StreamlinedBlobStorage.recordsAllocated,1698768347006000000,1698768407005000000,0
FilePageCache.totalPageLoadsUs,1698768347006000000,1698768407005000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1698768347006000000,1698768407005000000,0
FilePageCache.pageHits,1698768347006000000,1698768407005000000,0
FilePageCache.pageLoads,1698768347006000000,1698768407005000000,0
StorageLockContext.competingThreads.90P,1698768347006000000,1698768407005000000,0
FilePageCache.disposedBuffers,1698768347006000000,1698768407005000000,0
StreamlinedBlobStorage.recordsRelocated,1698768347006000000,1698768407005000000,0
FilePageCache.pageFastCacheHits,1698768347006000000,1698768407005000000,0
FilePageCache.totalPageDisposalsUs,1698768347006000000,1698768407005000000,0
FilePageCache.uncachedFileAccess,1698768347006000000,1698768407005000000,0
StorageLockContext.competingThreads.max,1698768347006000000,1698768407005000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1698768347006000000,1698768407005000000,63995904
FilePageCache.maxRegisteredFiles,1698768347006000000,1698768407005000000,126
FilePageCache.capacityInBytes,1698768347006000000,1698768407005000000,524288000
StorageLockContext.competingThreads.avg,1698768347006000000,1698768407005000000,0.0
FilePageCache.maxCacheSizeInBytes,1698768347006000000,1698768407005000000,63995904
FilePageCache.pageLoadsAboveSizeThreshold,1698768347006000000,1698768407005000000,0
DirectByteBufferAllocator.hits,1698768347006000000,1698768407005000000,0
FileNameCache.totalMisses,1698768347006000000,1698768407005000000,0
FileNameCache.queries,1698768347006000000,1698768407005000000,448
FileNameCache.fastMisses,1698768347006000000,1698768407005000000,0
NonBlockingReadAction.finalizedExecutionsCount,1698768347006000000,1698768407005000000,0
FlushQueue.tasksExecuted,1698768347006000000,1698768407005000000,1600
FlushQueue.queueSize90P,1698768347006000000,1698768407005000000,1
FlushQueue.waitingTimeMaxNs,1698768347006000000,1698768407005000000,6881279
FlushQueue.queueSizeAvg,1698768347006000000,1698768407005000000,0.278125
FlushQueue.queueSizeMax,1698768347006000000,1698768407005000000,5
FlushQueue.executionTimeAvgNs,1698768347006000000,1698768407005000000,185993.52
NonBlockingReadAction.failedExecutionsCount,1698768347006000000,1698768407005000000,0
AWTEventQueue.eventsDispatched,1698768347006000000,1698768407005000000,2827
AWTEventQueue.dispatchTimeAvgNs,1698768347006000000,1698768407005000000,430997.3088079236
FlushQueue.waitingTimeAvgNs,1698768347006000000,1698768407005000000,175740.5675
FlushQueue.executionTime90PNs,1698768347006000000,1698768407005000000,258047
FlushQueue.waitingTime90PNs,1698768347006000000,1698768407005000000,309247
AWTEventQueue.dispatchTime90PNs,1698768347006000000,1698768407005000000,770047
NonBlockingReadAction.finalizedExecutionTimeUs,1698768347006000000,1698768407005000000,0
FlushQueue.executionTimeMaxNs,1698768347006000000,1698768407005000000,50593791
AWTEventQueue.dispatchTimeTotalNS,1698768347006000000,1698768407005000000,1218452678
AWTEventQueue.dispatchTimeMaxNs,1698768347006000000,1698768407005000000,61603839
NonBlockingReadAction.failedExecutionTimeUs,1698768347006000000,1698768407005000000,0
JVM.maxHeapBytes,1698768347006000000,1698768407005000000,2147483648
JVM.totalCpuTimeMs,1698768347006000000,1698768407005000000,7680
JVM.GC.collections,1698768347006000000,1698768407005000000,0
JVM.threadCount,1698768347006000000,1698768407005000000,56
JVM.usedHeapBytes,1698768347006000000,1698768407005000000,224946024
OS.loadAverage,1698768347006000000,1698768407005000000,1.23583984375
JVM.GC.collectionTimesMs,1698768347006000000,1698768407005000000,0
JVM.maxNativeBytes,1698768347006000000,1698768407005000000,-1
JVM.usedNativeBytes,1698768347006000000,1698768407005000000,227673672
workspaceModel.mutableEntityStorage.referrers.ms,1698768407005000000,1698768442562000000,0
workspaceModel.save.cache.to.file.ms,1698768407005000000,1698768442562000000,235
jps.app.storage.content.reader.load.component.ms,1698768407005000000,1698768442562000000,0
jps.global.get.libraries.ms,1698768407005000000,1698768442562000000,1
workspaceModel.mutableEntityStorage.put.entity.ms,1698768407005000000,1698768442562000000,4
jps.facet.change.listener.init.bridge.ms,1698768407005000000,1698768442562000000,0
jps.library.entities.serializer.save.entities.ms,1698768407005000000,1698768442562000000,0
jps.app.storage.content.writer.save.component.ms,1698768407005000000,1698768442562000000,0
workspaceModel.global.updates.ms,1698768407005000000,1698768442562000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1698768407005000000,1698768442562000000,1
workspaceModel.mutableEntityStorage.has.same.entities.ms,1698768407005000000,1698768442562000000,0
workspaceModel.load.cache.from.file.ms,1698768407005000000,1698768442562000000,96
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1698768407005000000,1698768442562000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1698768407005000000,1698768442562000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1698768407005000000,1698768442562000000,10
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1698768407005000000,1698768442562000000,0
workspaceModel.global.apply.state.to.project.ms,1698768407005000000,1698768442562000000,24
jps.facet.change.listener.process.change.events.ms,1698768407005000000,1698768442562000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1698768407005000000,1698768442562000000,0
jps.global.handle.before.change.events.ms,1698768407005000000,1698768442562000000,0
jps.global.handle.changed.events.ms,1698768407005000000,1698768442562000000,0
workspaceModel.sync.entities.ms,1698768407005000000,1698768442562000000,0
jps.save.changed.project.entities.ms,1698768407005000000,1698768442562000000,1
workspaceModel.delayed.project.synchronizer.sync.ms,1698768407005000000,1698768442562000000,34
workspaceModel.mutableEntityStorage.resolve.ms,1698768407005000000,1698768442562000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1698768407005000000,1698768442562000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1698768407005000000,1698768442562000000,29
workspaceModel.moduleBridgeLoader.loading.modules.ms,1698768407005000000,1698768442562000000,535
jps.module.iml.entities.serializer.save.entities.ms,1698768407005000000,1698768442562000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1698768407005000000,1698768442562000000,0
jps.global.get.library.by.name.ms,1698768407005000000,1698768442562000000,0
jps.project.serializers.save.ms,1698768407005000000,1698768442562000000,1
workspaceModel.global.updates.count,1698768407005000000,1698768442562000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1698768407005000000,1698768442562000000,0
jps.module.iml.entities.serializer.load.entities.ms,1698768407005000000,1698768442562000000,6
jps.facet.change.listener.before.change.events.ms,1698768407005000000,1698768442562000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1698768407005000000,1698768442562000000,9
jps.reload.project.entities.ms,1698768407005000000,1698768442562000000,0
jps.global.initialize.library.bridges.ms,1698768407005000000,1698768442562000000,0
jps.storage.jps.conf.reader.load.component.ms,1698768407005000000,1698768442562000000,8
workspaceModel.mutableEntityStorage.modify.entity.ms,1698768407005000000,1698768442562000000,2
jps.artifact.entities.serializer.load.entities.ms,1698768407005000000,1698768442562000000,0
jps.artifact.entities.serializer.save.entities.ms,1698768407005000000,1698768442562000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1698768407005000000,1698768442562000000,1
workspaceModel.global.apply.state.to.project.builder.ms,1698768407005000000,1698768442562000000,0
jps.project.serializers.load.ms,1698768407005000000,1698768442562000000,16
jps.save.global.entities.ms,1698768407005000000,1698768442562000000,2
workspaceModel.moduleBridge.update.option.ms,1698768407005000000,1698768442562000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1698768407005000000,1698768442562000000,0
workspaceModel.moduleBridge.before.changed.ms,1698768407005000000,1698768442562000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1698768407005000000,1698768442562000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1698768407005000000,1698768442562000000,0
jps.global.initialize.library.bridges.after.loading.ms,1698768407005000000,1698768442562000000,0
workspaceModel.orphan.listener.update.ms,1698768407005000000,1698768442562000000,1
workspaceModel.mutableEntityStorage.entities.ms,1698768407005000000,1698768442562000000,0
jps.load.initial.state.ms,1698768407005000000,1698768442562000000,3
jps.load.project.to.empty.storage.ms,1698768407005000000,1698768442562000000,17
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1698768407005000000,1698768442562000000,1
jps.global.get.library.ms,1698768407005000000,1698768442562000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1698768407005000000,1698768442562000000,0
jps.library.entities.serializer.load.entities.ms,1698768407005000000,1698768442562000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1698768407005000000,1698768442562000000,3
jps.apply.loaded.storage.ms,1698768407005000000,1698768442562000000,14
workspaceModel.check.recursive.update.ms,1698768407005000000,1698768442562000000,0
workspaceModel.updates.ms,1698768407005000000,1698768442562000000,38
workspaceModel.loading.from.cache.ms,1698768407005000000,1698768442562000000,96
workspaceModel.pre.handlers.ms,1698768407005000000,1698768442562000000,1
workspaceModel.update.unloaded.entities.ms,1698768407005000000,1698768442562000000,0
workspaceModel.collect.changes.ms,1698768407005000000,1698768442562000000,0
workspaceModel.updates.precise.ms,1698768407005000000,1698768442562000000,14
workspaceModel.loading.total.ms,1698768407005000000,1698768442562000000,112
workspaceModel.updates.count,1698768407005000000,1698768442562000000,3
workspaceModel.to.snapshot.ms,1698768407005000000,1698768442562000000,1
workspaceModel.initializing.ms,1698768407005000000,1698768442562000000,0
workspaceModel.init.bridges.ms,1698768407005000000,1698768442562000000,0
workspaceModel.replace.project.model.ms,1698768407005000000,1698768442562000000,0
DirectByteBufferAllocator.disposed,1698768407005000000,1698768442562000000,11
DirectByteBufferAllocator.reclaimed,1698768407005000000,1698768442562000000,45
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1698768407005000000,1698768442562000000,52461568
DirectByteBufferAllocator.misses,1698768407005000000,1698768442562000000,0
FilePageCache.totalPageLoadsUs,1698768407005000000,1698768442562000000,0
FilePageCache.pageHits,1698768407005000000,1698768442562000000,0
